tour_slug,display_duration,duration_min,slot_times,max_per_slot,buffer_min,enabled
clear-kayak-photoshoot,2–3 hours,180,"08:00,11:00,14:00",2,30,true
jet-car-rental,30 minutes,30,"09:00,09:30,10:00,10:30,11:00,11:30,14:00,14:30,15:00,15:30",1,15,true
atv,3 hours,180,"08:00,13:00",4,60,true
jet-ski,30–60 min,60,"09:00,10:00,11:00,14:00,15:00",2,30,true
private-yacht-charter,Half or full day,240,"09:00",1,60,true
private-catamaran-charter,Half or full day,240,"09:00,14:00",1,60,true
bamboo-rafting,Half day,240,"08:00,13:00",4,60,true
dunns-river-falls,Half day,300,"07:00,08:00",6,60,true
blue-hole,Half day,300,"07:30,08:30",6,60,true
atv-bamboo-rafting-combo,Full day,480,"07:00",2,60,true
drone-aerial-package,2–3 hours,180,"08:00,11:00,14:00",2,30,true
transfers,Airport / cruise transfer,60,"06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00",3,30,true
